date,note_1,note_10,note_100,note_20,note_5,note_50,year,month,quarter,month_sin,month_cos,banknote_total,banknote_total_lag_1,banknote_total_lag_3,banknote_total_lag_6,banknote_total_lag_12,banknote_total_roll_3,banknote_total_roll_6,banknote_total_roll_12,holiday_count,pre_holiday_count,post_holiday_count,hari_raya,cny,deepavali
2020-07-01,2759.6,6437.9,54131.4,3477.3,2614.8,54049.4,2020,7,3,-0.4999999999999997,-0.8660254037844388,123470.4,121093.1,117510.0,114932.29999999999,105509.20000000001,122699.23333333334,118133.93333333335,113152.59166666666,1,2,1,0,0,0
2020-08-01,2725.9,6380.7,54378.3,3460.5,2575.0,53312.6,2020,8,3,-0.8660254037844384,-0.5000000000000004,122833.0,123470.4,123534.20000000001,110652.20000000001,105599.2,122465.5,120164.06666666667,114588.74166666665,2,1,1,0,0,0
2020-09-01,2698.8,6331.2,54875.6,3410.5,2543.6,52604.6,2020,9,3,-1.0,-1.8369701987210297e-16,122464.29999999999,122833.0,121093.1,112543.7,105353.7,122922.56666666667,121817.5,116014.625,1,1,2,0,0,0
2020-10-01,2681.5,6345.6,55250.2,3465.3,2525.4,53931.3,2020,10,4,-0.8660254037844386,0.5000000000000001,124199.3,122464.29999999999,123470.4,117510.0,106186.8,123165.53333333333,122932.38333333335,117515.66666666667,1,0,1,0,0,0
2020-11-01,2674.6,6269.7,55077.8,3430.1,2511.4,54154.8,2020,11,4,-0.5000000000000004,0.8660254037844384,124118.40000000001,124199.3,122833.0,123534.20000000001,106667.0,123594.0,123029.75,118969.95,0,1,1,0,0,0
2020-12-01,2677.154022,6329.534185,55421.100725,3506.1364,2517.5419375,56027.747425,2020,12,4,-2.4492935982947064e-16,1.0,126479.2146945,124118.40000000001,122464.29999999999,121093.1,110288.5,124932.30489816667,123927.43578241667,120319.17622454168,1,0,0,0,0,0
2021-01-01,2797.917689,7286.650415,56100.968375,3765.2142,2753.876475,61017.682975,2021,1,1,0.49999999999999994,0.8660254037844387,133722.310129,126479.2146945,124199.3,123470.4,114932.29999999999,128106.64160783333,125636.08747058333,121885.01040195832,0,2,1,0,0,0
2021-02-01,2790.016779,7123.35543,56190.577925,3795.36636,2732.4145775,62524.219875,2021,2,1,0.8660254037844386,0.5000000000000001,135155.9509465,133722.310129,124118.40000000001,122833.0,110652.20000000001,131785.82525666666,127689.91262833332,123926.9896475,2,0,0,0,1,0
2021-03-01,2775.8663245,6893.192205,55789.976975,3764.46093,2691.967875,63501.245425,2021,3,1,1.0,6.123233995736766e-17,135416.7097345,135155.9509465,126479.2146945,122464.29999999999,112543.7,134764.99026999998,129848.64758408333,125833.07379204167,0,0,2,0,0,0
2021-04-01,3001.723709,7248.58671,55874.937075,3928.7007,2898.37506,65557.5046,2021,4,2,0.8660254037844387,-0.4999999999999998,138509.827854,135416.7097345,133722.310129,124199.3,117510.0,136360.82951166667,132233.73555975,127583.05944654167,0,4,0,0,0,0
