date,year,month,quarter,month_sin,month_cos,holiday_count,pre_holiday_count,post_holiday_count,hari_raya,cny,deepavali,banknote_total_lag_1,banknote_total_lag_3,banknote_total_lag_6,banknote_total_lag_12,banknote_total_roll_3,banknote_total_roll_6,banknote_total_roll_12
2008-03-01,2008,3,1,1.0,6.123233995736766e-17,1,0,2,0,0,0,44018.5,40348.5,39808.1,36459.7,44046.70000000001,41534.1,39502.99166666666
2008-04-01,2008,4,2,0.8660254037844387,-0.4999999999999998,0,2,1,0,0,0,42931.2,45190.4,37908.3,37556.4,42969.3,42209.083333333336,39869.808333333334
2008-05-01,2008,5,2,0.49999999999999994,-0.8660254037844387,2,1,0,0,0,0,41958.2,44018.5,38807.7,35909.899999999994,42476.0,42830.9,40422.2
2008-06-01,2008,6,2,1.2246467991473532e-16,-1.0,1,0,2,0,0,0,42538.6,42931.2,40348.5,36370.899999999994,42494.76666666667,43270.73333333333,40973.583333333336
2008-07-01,2008,7,3,-0.4999999999999997,-0.8660254037844388,0,1,1,0,0,0,42987.5,41958.2,45190.4,36774.200000000004,42624.833333333336,42797.066666666666,41438.1
2008-08-01,2008,8,3,-0.8660254037844384,-0.5000000000000004,1,1,0,0,0,0,42348.4,42538.6,44018.5,38411.8,43384.93333333334,42930.46666666667,41972.025
2008-09-01,2008,9,3,-1.0,-1.8369701987210297e-16,1,2,1,0,0,0,44818.899999999994,42987.5,42931.2,39808.1,45615.5,44055.13333333333,42794.61666666666
2008-10-01,2008,10,4,-0.8660254037844386,0.5000000000000001,2,0,1,1,0,0,49679.2,42348.4,41958.2,37908.3,46372.93333333334,44498.88333333333,43353.98333333333
2008-11-01,2008,11,4,-0.5000000000000004,0.8660254037844384,0,3,2,0,0,0,44620.700000000004,44818.899999999994,42538.6,38807.7,46239.13333333334,44812.03333333333,43821.46666666667
2008-12-01,2008,12,4,-2.4492935982947064e-16,1.0,3,2,0,0,0,0,44417.5,49679.2,42987.5,40348.5,45028.466666666674,45321.98333333333,44296.35833333333
2009-01-01,2009,1,1,0.49999999999999994,0.8660254037844387,2,0,3,0,1,0,46047.2,44620.700000000004,42348.4,45190.4,47236.86666666667,46804.899999999994,44800.98333333333
2009-02-01,2009,2,1,0.8660254037844386,0.5000000000000001,0,1,2,0,0,0,51245.899999999994,44417.5,44818.899999999994,44018.5,47847.299999999996,47043.21666666667,44986.84166666667
2009-03-01,2009,3,1,1.0,6.123233995736766e-17,1,0,0,0,0,0,46248.8,46047.2,49679.2,42931.2,47687.43333333334,46357.950000000004,45206.541666666664
2009-04-01,2009,4,2,0.8660254037844387,-0.4999999999999998,0,2,1,0,0,0,45567.600000000006,51245.899999999994,44620.700000000004,41958.2,45823.56666666668,46530.21666666667,45514.549999999996
2009-05-01,2009,5,2,0.49999999999999994,-0.8660254037844387,2,1,0,0,0,0,45654.3,46248.8,44417.5,42538.6,45736.86666666667,46792.083333333336,45802.05833333334
2009-06-01,2009,6,2,1.2246467991473532e-16,-1.0,1,0,2,0,0,0,45988.7,45567.600000000006,46047.2,42987.5,45775.4,46731.416666666664,46026.700000000004
2009-07-01,2009,7,3,-0.4999999999999997,-0.8660254037844388,0,1,1,0,0,0,45683.2,45654.3,51245.899999999994,42348.4,45901.83333333334,45862.700000000004,46333.799999999996
2009-08-01,2009,8,3,-0.8660254037844384,-0.5000000000000004,1,3,0,0,0,0,46033.600000000006,45988.7,46248.8,44818.899999999994,46619.93333333334,46178.4,46610.80833333333
2009-09-01,2009,9,3,-1.0,-1.8369701987210297e-16,3,0,1,1,0,0,48143.0,45683.2,45567.600000000006,49679.2,47349.9,46562.65,46460.299999999996
2009-10-01,2009,10,4,-0.8660254037844386,0.5000000000000001,0,1,3,0,0,0,47873.1,46033.600000000006,45654.3,44620.700000000004,47554.76666666667,46728.299999999996,46629.25833333333
2009-11-01,2009,11,4,-0.5000000000000004,0.8660254037844384,1,2,0,0,0,0,46648.2,48143.0,45988.7,44417.5,47642.73333333334,47131.333333333336,46961.708333333336
2009-12-01,2009,12,4,-2.4492935982947064e-16,1.0,2,0,1,0,0,0,48406.899999999994,47873.1,45683.2,46047.2,48027.86666666667,47688.88333333333,47210.15
2010-01-01,2010,1,1,0.49999999999999994,0.8660254037844387,0,4,2,0,0,0,49028.5,46648.2,46033.600000000006,51245.899999999994,49863.466666666674,48709.11666666666,47285.90833333333
2010-02-01,2010,2,1,0.8660254037844386,0.5000000000000001,4,0,0,0,1,0,52155.0,48406.899999999994,48143.0,46248.8,51412.03333333335,49527.38333333333,47852.89166666666
2010-03-01,2010,3,1,1.0,6.123233995736766e-17,0,0,4,0,0,0,53052.600000000006,49028.5,47873.1,45567.600000000006,51759.26666666667,49893.56666666667,48228.10833333334
2010-04-01,2010,4,2,0.8660254037844387,-0.4999999999999998,0,2,0,0,0,0,50070.2,52155.0,46648.2,45654.3,51008.966666666674,50436.21666666667,48582.25833333333
2010-05-01,2010,5,2,0.49999999999999994,-0.8660254037844387,2,1,0,0,0,0,49904.1,53052.600000000006,48406.899999999994,45988.7,50340.100000000006,50876.06666666667,49003.700000000004
2010-06-01,2010,6,2,1.2246467991473532e-16,-1.0,1,0,2,0,0,0,51046.0,50070.2,49028.5,45683.2,50042.93333333334,50901.1,49294.99166666667
2010-07-01,2010,7,3,-0.4999999999999997,-0.8660254037844388,0,1,1,0,0,0,49178.7,49904.1,52155.0,46033.600000000006,49926.56666666667,50467.76666666666,49588.44166666666
2010-08-01,2010,8,3,-0.8660254037844384,-0.5000000000000004,1,3,0,0,0,0,49555.0,51046.0,53052.600000000006,48143.0,50821.833333333336,50580.96666666667,50054.174999999996
2010-09-01,2010,9,3,-1.0,-1.8369701987210297e-16,3,0,1,1,0,0,53731.8,49178.7,50070.2,47873.1,51228.13333333334,50635.533333333326,50264.549999999996
2010-10-01,2010,10,4,-0.8660254037844386,0.5000000000000001,0,1,3,0,0,0,50397.6,49555.0,49904.1,46648.2,51921.53333333335,50924.049999999996,50680.13333333333
2010-11-01,2010,11,4,-0.5000000000000004,0.8660254037844384,1,2,0,0,0,0,51635.2,53731.8,51046.0,48406.899999999994,50918.93333333333,50870.38333333333,50873.225
2010-12-01,2010,12,4,-2.4492935982947064e-16,1.0,2,0,1,0,0,0,50724.0,50397.6,49178.7,49028.5,51966.4,51597.26666666666,51249.18333333333
2011-01-01,2011,1,1,0.49999999999999994,0.8660254037844387,0,3,2,0,0,0,53540.0,51635.2,49555.0,52155.0,55155.26666666667,53538.4,52003.083333333336
2011-02-01,2011,2,1,0.8660254037844386,0.5000000000000001,3,0,0,0,1,0,61201.8,50724.0,53731.8,53052.600000000006,56819.83333333334,53869.38333333333,52225.174999999996
2011-03-01,2011,3,1,1.0,6.123233995736766e-17,0,0,3,0,0,0,55717.700000000004,53540.0,50397.6,50070.2,56864.70000000001,54415.549999999996,52525.541666666664
2011-04-01,2011,4,2,0.8660254037844387,-0.4999999999999998,0,3,0,0,0,0,53674.600000000006,61201.8,51635.2,49904.1,54996.966666666674,55076.11666666667,53000.083333333336
2011-05-01,2011,5,2,0.49999999999999994,-0.8660254037844387,3,1,0,0,0,0,55598.59999999999,55717.700000000004,50724.0,51046.0,54806.9,55813.36666666667,53341.875
2011-06-01,2011,6,2,1.2246467991473532e-16,-1.0,1,0,3,0,0,0,55147.5,53674.600000000006,53540.0,49178.7,55050.666666666664,55957.68333333334,53777.475000000006
2011-07-01,2011,7,3,-0.4999999999999997,-0.8660254037844388,0,1,1,0,0,0,54405.899999999994,55598.59999999999,61201.8,49555.0,55312.43333333334,55154.700000000004,54346.549999999996
2011-08-01,2011,8,3,-0.8660254037844384,-0.5000000000000004,1,2,0,1,0,0,56383.899999999994,55147.5,55717.700000000004,53731.8,58187.73333333334,56497.31666666667,55183.35
2011-09-01,2011,9,3,-1.0,-1.8369701987210297e-16,2,0,1,1,0,0,63773.399999999994,54405.899999999994,53674.600000000006,50397.6,59028.600000000006,57039.63333333333,55727.59166666667
2011-10-01,2011,10,4,-0.8660254037844386,0.5000000000000001,0,2,2,0,0,0,56928.5,56383.899999999994,55598.59999999999,51635.2,59319.4,57315.916666666664,56196.01666666667
2011-11-01,2011,11,4,-0.5000000000000004,0.8660254037844384,2,2,0,0,0,0,57256.3,63773.399999999994,55147.5,50724.0,57092.63333333334,57640.18333333333,56726.775
2011-12-01,2011,12,4,-2.4492935982947064e-16,1.0,2,2,2,0,0,0,57093.100000000006,56928.5,54405.899999999994,53540.0,57946.63333333334,58487.61666666666,57222.65
2012-01-01,2012,1,1,0.49999999999999994,0.8660254037844387,2,2,2,0,1,0,59490.5,57256.3,56383.899999999994,61201.8,60336.63333333334,59828.01666666667,57491.35833333334
2012-02-01,2012,2,1,0.8660254037844386,0.5000000000000001,2,0,2,0,0,0,64426.3,57093.100000000006,63773.399999999994,55717.700000000004,61026.9,59059.76666666666,57778.541666666664
2012-03-01,2012,3,1,1.0,6.123233995736766e-17,0,0,2,0,0,0,59163.899999999994,59490.5,56928.5,53674.600000000006,60949.43333333333,59448.033333333326,58243.83333333332
2012-04-01,2012,4,2,0.8660254037844387,-0.4999999999999998,0,2,0,0,0,0,59258.09999999999,64426.3,57256.3,55598.59999999999,59743.13333333334,60039.88333333333,58677.899999999994
2012-05-01,2012,5,2,0.49999999999999994,-0.8660254037844387,2,1,0,0,0,0,60807.4,59163.899999999994,57093.100000000006,55147.5,60078.833333333336,60552.86666666667,59096.524999999994
2012-06-01,2012,6,2,1.2246467991473532e-16,-1.0,1,0,2,0,0,0,60171.0,59258.09999999999,59490.5,54405.899999999994,60656.03333333333,60802.73333333334,59645.174999999996
2012-07-01,2012,7,3,-0.4999999999999997,-0.8660254037844388,0,4,1,0,0,0,60989.700000000004,60807.4,64426.3,56383.899999999994,61216.70000000001,60479.916666666664,60153.966666666674
2012-08-01,2012,8,3,-0.8660254037844384,-0.5000000000000004,4,2,0,1,0,0,62489.4,60171.0,59163.899999999994,63773.399999999994,62369.70000000001,61224.26666666666,60142.01666666666
2012-09-01,2012,9,3,-1.0,-1.8369701987210297e-16,2,1,4,0,0,0,63630.0,60989.700000000004,59258.09999999999,56928.5,62670.86666666667,61663.450000000004,60555.74166666667
2012-10-01,2012,10,4,-0.8660254037844386,0.5000000000000001,1,1,2,0,0,0,61893.2,62489.4,60807.4,57256.3,62294.466666666674,61755.583333333336,60897.73333333333
2012-11-01,2012,11,4,-0.5000000000000004,0.8660254037844384,1,1,1,0,0,0,61360.200000000004,63630.0,60171.0,57093.100000000006,61585.80000000001,61977.75,61265.30833333333
2012-12-01,2012,12,4,-2.4492935982947064e-16,1.0,1,1,1,0,0,0,61504.0,61893.2,60989.700000000004,59490.5,62493.966666666674,62582.416666666664,61692.575000000004
2013-01-01,2013,1,1,0.49999999999999994,0.8660254037844387,1,3,1,0,0,0,64617.7,61360.200000000004,62489.4,64426.3,65539.66666666667,63917.06666666666,62198.49166666666
2013-02-01,2013,2,1,0.8660254037844386,0.5000000000000001,3,0,1,0,1,0,70497.3,61504.0,63630.0,59163.899999999994,67885.83333333333,64735.81666666667,62980.041666666664
2013-03-01,2013,3,1,1.0,6.123233995736766e-17,0,0,3,0,0,0,68542.5,64617.7,61893.2,59258.09999999999,68956.40000000001,65725.18333333333,63694.31666666667
